attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,development-policy-area,,cb1190aa0ce9afe7bc888ec19ee3c5825c8c73cdeadbddcdd0eebcdffd8c0296,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,cb1190aa0ce9afe7bc888ec19ee3c5825c8c73cdeadbddcdd0eebcdffd8c0296,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,f8d4b8618c65466c9fdd4ebc0eb8f94391ba62514734e26e5d465c5b4b470f93,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,9c8f0a7cb67a6f77525121f4c01e7f0fcfbb0fe9945b806161cc9d95e924f1ca,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,07dae86ab06f0733228655c47bfbcb1b66146987284d9f0452717ca219cee72d,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,5df3c1c2ebb634a6f6bcb0d5d274223fb5869183ef0d56f09848222ad025f55b,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,556e9fb45ede3fece18bd8e6c3d42acc909aedd0233fd4d0d534fec705da9010,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,43f3f4404fe5b472b81db85ea24395b03c9fbee2274162ed637739caca045e7c,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,e6d46aa60c28d8b378557815b42a6db04f300ba47149ffdc0c243a778e74d845,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,5d8812acb6ad3fa1d414bab2422661e0512f3cedfd8d41f146e9f2f2c1def818,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,3cdd4d7143d5ee013f3ebf6835a282c8ea431b88f434df6ded6ed3ac6b9740f8,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,746bd026444b6f6871a668961e8e7cc757ff9e82907ebe1c8a28b70ff3e15091,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,a1af9ca0f2337ed5bea3aec1898e5e2034c14c31f6110e8e57148dc7fe07a942,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,d0601260f810326445fa71964dfd73a097dfb3063a4f67b4286606fb14616fa1,,local-authority-eng:BUC,development-policy-area,2021-01-08,,
,development-policy-area,,5c08d305b79dcac2c94e5895654840a280d858a5b1468ddc150e30fc5bafb2f2,,,development-policy-area,2021-01-11,,
,development-policy-area,,3c1af2b20350df31c6c3673a2e1471d3b93aa173001859fb8bff7cc37a077f35,,,development-policy-area,2021-01-11,,
,development-policy-area,,57d2a2a82d966ff60abc0cf27d36b8217d2daab24fdc4b43cea6ccd61ebac734,,,development-policy-area,2021-01-11,,
,development-policy-area,,934c309d153743a0eb3406cfba22651a8f6d82fd3efd57b0740607e4901d423e,,,development-policy-area,2021-01-11,,
,development-policy-area,,caed9bf031f0cf8f06140064fc9b653208d7cca019ed32d3d388cfeb1ef9302c,,,development-policy-area,2021-01-11,,
,development-policy-area,,217180030628eb28b0e1539eff016e4c7771423bca32da6f60106ae0fde18fc8,,,development-policy-area,2021-01-11,,
,development-policy-area,,5e092e7165d29cb05fd93f6266d36b325b28acb56d368ce667a87667b19139de,,,development-policy-area,2021-01-11,,
,development-policy-area,,abe893e55faecb56d8f42b173300444e316d16fdb36d3685a48fd2453df1ad59,,,development-policy-area,2021-01-11,,
,development-policy-area,,46882437f49a3a4053e6c353547cc27ff9cc8deb2d814564329c1db61b811099,,,development-policy-area,2021-01-11,,
