row-number,field,issue-type,value
1,organisation,default,local-authority-eng:BUC
1,entry-date,default,2021-01-08
2,organisation,default,local-authority-eng:BUC
2,entry-date,default,2021-01-08
3,organisation,default,local-authority-eng:BUC
3,entry-date,default,2021-01-08
4,organisation,default,local-authority-eng:BUC
4,entry-date,default,2021-01-08
5,organisation,default,local-authority-eng:BUC
5,entry-date,default,2021-01-08
6,organisation,default,local-authority-eng:BUC
6,entry-date,default,2021-01-08
7,organisation,default,local-authority-eng:BUC
7,entry-date,default,2021-01-08
8,organisation,default,local-authority-eng:BUC
8,entry-date,default,2021-01-08
9,organisation,default,local-authority-eng:BUC
9,entry-date,default,2021-01-08
10,organisation,default,local-authority-eng:BUC
10,entry-date,default,2021-01-08
11,organisation,default,local-authority-eng:BUC
11,entry-date,default,2021-01-08
12,organisation,default,local-authority-eng:BUC
12,entry-date,default,2021-01-08
13,organisation,default,local-authority-eng:BUC
13,entry-date,default,2021-01-08
14,organisation,default,local-authority-eng:BUC
14,entry-date,default,2021-01-08
15,organisation,default,local-authority-eng:BUC
15,entry-date,default,2021-01-08
16,organisation,default,local-authority-eng:BUC
16,entry-date,default,2021-01-08
17,organisation,default,local-authority-eng:BUC
17,entry-date,default,2021-01-08
18,organisation,default,local-authority-eng:BUC
18,entry-date,default,2021-01-08
19,organisation,default,local-authority-eng:BUC
19,entry-date,default,2021-01-08
20,organisation,default,local-authority-eng:BUC
20,entry-date,default,2021-01-08
21,organisation,default,local-authority-eng:BUC
21,entry-date,default,2021-01-08
22,organisation,default,local-authority-eng:BUC
22,entry-date,default,2021-01-08
